EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
1006|826|1|510356563|NM|F|R|-1|||||
1006|826|1|510357566|NM|F|R|-1|||||
1006|826|1|510358448|NM|F|R|-1|||||
1006|826|1|510363555|NM|F|R|-1|||||
1006|826|1|510364022|NM|F|R|-1|||||
1006|826|1|510366186|O|F|R|-1|||||
1006|826|1|510371195|NM|F|R|-1|||||
1006|826|1|510372660|NM|F|R|-1|||||
1006|826|1|510377713|NM|F|R|-1|||||
1006|826|1|510378667|NM|F|R|-1|||||
1006|826|1|510379446|NM|F|R|-1|||||
1006|826|1|510385170|NM|F|R|-1|||||
1006|826|1|510388373|NM|F|R|-1|||||
1006|826|1|510391019|NM|F|R|-1|||||
1006|826|1|510391033|NM|F|R|-1|||||
1006|826|1|510391381|NM|F|R|-1|||||
1006|826|1|510392210|NM|F|R|-1|||||
1006|826|1|510393520|NM|F|R|-1|||||
1006|826|1|510416001|NM|F|R|-1|||||
1006|826|1|510428502|NM|F|R|-1|||||
1006|826|1|510429966|NM|F|R|-1|||||
1006|826|1|510430802|NM|F|R|-1|||||
1006|826|1|510437866|NM|F|R|-1|||||
1006|826|1|510438322|NM|F|R|-1|||||
1006|826|1|510443745|NM|F|R|-1|||||
1006|826|1|510445273|NM|F|R|-1|||||
1006|826|1|510445387|NM|F|R|-1|||||
1006|826|1|510445900|NM|F|R|-1|||||
1006|826|1|510449431|NM|F|R|-1|||||
1006|826|1|510451347|NM|F|R|-1|||||
1006|826|1|510453417|NM|F|R|-1|||||
1006|826|1|510455707|NM|F|R|-1|||||
1006|826|1|510457709|O|F|R|-1|||||
1006|826|1|510463476|NM|F|R|-1|||||
1006|826|1|510464208|NM|F|R|-1|||||
1006|826|1|510465015|O|F|R|-1|||||
1006|826|1|510465713|NM|F|R|-1|||||
1006|826|1|510468196|NM|F|R|-1|||||
1006|826|1|510475582|NM|F|R|-1|||||
1006|826|1|510475692|NM|F|R|-1|||||
1006|826|1|510482494|NM|F|R|-1|||||
1006|826|1|510484939|NM|F|R|-1|||||
1006|826|1|510507460|NM|F|R|-1|||||
1006|826|1|510532237|NM|F|R|-1|||||
1006|826|1|510533192|NM|F|R|-1|||||
1006|826|1|510575653|NM|F|R|-1|||||
1006|826|1|6715976|NM|F|R|-1|||||
1006|826|1|6871282|NM|F|R|-1|||||
1006|826|1|7187402|NM|F|R|-1|||||
1006|826|1|7199833|NM|F|R|-1|||||
1006|826|1|7218705|NM|F|R|-1|||||
1006|826|1|7332915|NM|F|R|-1|||||
1006|826|1|7362333|NM|F|R|-1|||||
1006|826|1|7429871|NM|F|R|-1|||||
1006|826|1|7446891|NM|F|R|-1|||||
1006|826|1|7520503|NM|F|R|-1|||||
1006|826|1|7570121|O|F|R|-1|||||
1006|826|1|7656459|NM|F|R|-1|||||
1006|826|1|801414613|NM|F|R|-1|||||
1006|826|1|801465770|NM|F|R|-1|||||
1006|826|1|801529376|NM|F|R|-1|||||
1006|826|1|801539538|NM|F|R|-1|||||
1006|826|1|801628689|NM|F|R|-1|||||
1006|826|1|801743819|NM|F|R|-1|||||
1006|826|1|802162488|NM|F|R|-1|||||
1006|826|1|100005181|NM|F|S1|-1||||147|
1006|826|1|100024533|NM|F|S1|-1||||147|
1006|826|1|100040591|NM|F|S1|-1||||147|
1006|826|1|100072817|NM|F|S1|-1||||147|
1006|826|1|100092319|NM|F|S1|-1||||147|
1006|826|1|100096443|NM|F|S1|-1||||147|
1006|826|1|200016178|NM|F|S1|-1||||147|
1006|826|1|200028508|NM|F|S1|-1||||147|
1006|826|1|200035290|NM|F|S1|-1||||147|
1006|826|1|200035932|NM|F|S1|-1||||147|
1006|826|1|200039305|NM|F|S1|-1||||147|
1006|826|1|200054910|NM|F|S1|-1||||147|
1006|826|1|300025886|NM|F|S1|-1||||147|
1006|826|1|300039916|NM|F|S1|-1||||147|
1006|826|1|300042340|NM|F|S1|-1||||147|
1006|826|1|4574430|NM|F|S1|-1||||147|
1006|826|1|500001213|NM|F|S1|-1||||147|
1006|826|1|500001576|NM|F|S1|-1||||147|
1006|826|1|500007122|NM|F|S1|-1||||147|
1006|826|1|500008445|NM|F|S1|-1||||147|
1006|826|1|500008843|NM|F|S1|-1||||147|
1006|826|1|500010128|NM|F|S1|-1||||147|
1006|826|1|500010833|NM|F|S1|-1||||147|
1006|826|1|500011189|NM|F|S1|-1||||147|
1006|826|1|500013763|NM|F|S1|-1||||147|
1006|826|1|500017750|NM|F|S1|-1||||147|
1006|826|1|500020133|NM|F|S1|-1||||147|
1006|826|1|500024389|NM|F|S1|-1||||147|
1006|826|1|500027316|NM|F|S1|-1||||147|
1006|826|1|500028827|NM|F|S1|-1||||147|
1006|826|1|500030793|NM|F|S1|-1||||147|
1006|826|1|500031792|NM|F|S1|-1||||147|
1006|826|1|500032612|NM|F|S1|-1||||147|
1006|826|1|500032680|NM|F|S1|-1||||147|
1006|826|1|500034607|NM|F|S1|-1||||147|
1006|826|1|500034666|NM|F|S1|-1||||147|
1006|826|1|500034728|NM|F|S1|-1||||147|
