EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|INSTITUTE CODE|
1051|825|1|500055126|O|P||-1|||You have already passed this exam||140|
1051|825|1|500062317|O|P||-1|||You have already passed this exam||140|
1051|825|1|500062784|O|P||-1|||You have already passed this exam||140|
1051|825|1|500065749|O|P||-1|||You have already passed this exam||140|
1051|825|1|500067496|O|P||-1|||You have already passed this exam||140|
1051|825|1|500079022|O|P||-1|||You have already passed this exam||140|
1051|825|1|500083394|O|P||-1|||You have already passed this exam||140|
1051|825|1|500083566|O|P||-1|||You have already passed this exam||140|
1051|825|1|500090291|O|P||-1|||You have already passed this exam||140|
1051|825|1|500094529|O|P||-1|||You have already passed this exam||140|
1051|825|1|500096952|O|P||-1|||You have already passed this exam||140|
1051|825|1|500097287|O|P||-1|||You have already passed this exam||140|
1051|825|1|500098521|O|P||-1|||You have already passed this exam||140|
1051|825|1|500102088|O|P||-1|||You have already passed this exam||140|
1051|825|1|500106640|O|P||-1|||You have already passed this exam||140|
1051|825|1|500113213|O|P||-1|||You have already passed this exam||140|
1051|825|1|500119714|O|P||-1|||You have already passed this exam||140|
1051|825|1|500122840|O|P||-1|||You have already passed this exam||140|
1051|825|1|500124875|O|P||-1|||You have already passed this exam||140|
1051|825|1|500125123|O|P||-1|||You have already passed this exam||140|
1051|825|1|500125294|O|P||-1|||You have already passed this exam||140|
1051|825|1|500125363|O|P||-1|||You have already passed this exam||140|
1051|825|1|500130450|O|P||-1|||You have already passed this exam||140|
1051|825|1|500130496|O|P||-1|||You have already passed this exam||140|
1051|825|1|500130509|O|P||-1|||You have already passed this exam||140|
1051|825|1|500131932|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132321|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132327|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132362|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132422|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132530|O|P||-1|||You have already passed this exam||140|
1051|825|1|500132533|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134044|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134291|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134294|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134587|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134654|O|P||-1|||You have already passed this exam||140|
1051|825|1|500134656|O|P||-1|||You have already passed this exam||140|
1051|825|1|500135254|O|P||-1|||You have already passed this exam||140|
1051|825|1|500135619|O|P||-1|||You have already passed this exam||140|
1051|825|1|500135624|O|P||-1|||You have already passed this exam||140|
1051|825|1|500135853|O|P||-1|||You have already passed this exam||140|
1051|825|1|500135903|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136289|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136338|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136429|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136543|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136565|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136879|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136896|O|P||-1|||You have already passed this exam||140|
1051|825|1|500136961|O|P||-1|||You have already passed this exam||140|
1051|825|1|500137110|O|P||-1|||You have already passed this exam||140|
1051|825|1|500138620|O|P||-1|||You have already passed this exam||140|
1051|825|1|500139632|O|P||-1|||You have already passed this exam||140|
1051|825|1|500139655|O|P||-1|||You have already passed this exam||140|
1051|825|1|500140075|O|P||-1|||You have already passed this exam||140|
1051|825|1|500140679|O|P||-1|||You have already passed this exam||140|
1051|825|1|500140817|O|P||-1|||You have already passed this exam||140|
1051|825|1|500141084|O|P||-1|||You have already passed this exam||140|
1051|825|1|500141161|O|P||-1|||You have already passed this exam||140|
1051|825|1|500141523|O|P||-1|||You have already passed this exam||140|
1051|825|1|500142245|O|P||-1|||You have already passed this exam||140|
1051|825|1|500142824|O|P||-1|||You have already passed this exam||140|
1051|825|1|500143642|O|P||-1|||You have already passed this exam||140|
1051|825|1|500144195|O|P||-1|||You have already passed this exam||140|
1051|825|1|500144248|O|P||-1|||You have already passed this exam||140|
1051|825|1|500144694|O|P||-1|||You have already passed this exam||140|
1051|825|1|500144730|O|P||-1|||You have already passed this exam||140|
1051|825|1|500145384|O|P||-1|||You have already passed this exam||140|
1051|825|1|500147249|O|P||-1|||You have already passed this exam||140|
1051|825|1|500150281|O|P||-1|||You have already passed this exam||140|
1051|825|1|500150324|O|P||-1|||You have already passed this exam||140|
1051|825|1|500150771|O|P||-1|||You have already passed this exam||140|
1051|825|1|500150791|O|P||-1|||You have already passed this exam||140|
1051|825|1|500151843|O|P||-1|||You have already passed this exam||140|
1051|825|1|500151908|O|P||-1|||You have already passed this exam||140|
1051|825|1|500152100|O|P||-1|||You have already passed this exam||140|
1051|825|1|500152275|O|P||-1|||You have already passed this exam||140|
1051|825|1|500152451|O|P||-1|||You have already passed this exam||140|
1051|825|1|500152588|O|P||-1|||You have already passed this exam||140|
1051|825|1|500153657|O|P||-1|||You have already passed this exam||140|
1051|825|1|500153689|O|P||-1|||You have already passed this exam||140|
1051|825|1|500153698|O|P||-1|||You have already passed this exam||140|
1051|825|1|500154743|O|P||-1|||You have already passed this exam||140|
1051|825|1|500154752|O|P||-1|||You have already passed this exam||140|
1051|825|1|500155934|O|P||-1|||You have already passed this exam||140|
1051|825|1|500156600|O|P||-1|||You have already passed this exam||140|
1051|825|1|500157510|O|P||-1|||You have already passed this exam||161|
1051|825|1|500157933|O|P||-1|||You have already passed this exam||140|
1051|825|1|500158146|O|P||-1|||You have already passed this exam||140|
1051|825|1|500161388|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162062|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162083|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162176|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162177|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162400|O|P||-1|||You have already passed this exam||140|
1051|825|1|500162918|O|P||-1|||You have already passed this exam||140|
1051|825|1|500163100|O|P||-1|||You have already passed this exam||140|
1051|825|1|500163534|O|P||-1|||You have already passed this exam||140|
1051|825|1|500163870|O|P||-1|||You have already passed this exam||140|
1051|825|1|500163945|O|P||-1|||You have already passed this exam||140|
1051|825|1|500164874|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165307|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165356|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165370|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165387|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165502|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165769|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165856|O|P||-1|||You have already passed this exam||140|
1051|825|1|500165884|O|P||-1|||You have already passed this exam||140|
1051|825|1|500166174|O|P||-1|||You have already passed this exam||140|
