EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
508|123|1|500118817|O|P||-1|||You have already passed this exam||
508|123|1|500119026|O|P||-1|||You have already passed this exam||
508|123|1|500119085|O|P||-1|||You have already passed this exam||
508|123|1|500119295|O|P||-1|||You have already passed this exam||
508|123|1|500119462|O|P||-1|||You have already passed this exam||
508|123|1|500120641|O|P||-1|||You have already passed this exam||
508|123|1|500121585|O|P||-1|||You have already passed this exam||
508|123|1|500123461|O|P||-1|||You have already passed this exam||
508|123|1|500123554|O|P||-1|||You have already passed this exam||
508|123|1|500123587|O|P||-1|||You have already passed this exam||
508|123|1|500123794|O|P||-1|||You have already passed this exam||
508|123|1|500124114|O|P||-1|||You have already passed this exam||
508|123|1|500124738|O|P||-1|||You have already passed this exam||
508|123|1|500125528|O|P||-1|||You have already passed this exam||
508|123|1|500126085|O|P||-1|||You have already passed this exam||
508|123|1|500127545|O|P||-1|||You have already passed this exam||
508|123|1|500128833|O|P||-1|||You have already passed this exam||
508|123|1|500129335|O|P||-1|||You have already passed this exam||
508|123|1|500129816|O|P||-1|||You have already passed this exam||
508|123|1|500129881|O|P||-1|||You have already passed this exam||
508|123|1|500130121|O|P||-1|||You have already passed this exam||
508|123|1|500130659|O|P||-1|||You have already passed this exam||
508|123|1|500130693|O|P||-1|||You have already passed this exam||
508|123|1|500130771|O|P||-1|||You have already passed this exam||
508|123|1|500131114|O|P||-1|||You have already passed this exam||
508|123|1|500131206|O|P||-1|||You have already passed this exam||
508|123|1|500131588|O|P||-1|||You have already passed this exam||
508|123|1|500132038|O|P||-1|||You have already passed this exam||
508|123|1|500132093|O|P||-1|||You have already passed this exam||
508|123|1|500132454|O|P||-1|||You have already passed this exam||
508|123|1|500132567|O|P||-1|||You have already passed this exam||
508|123|1|500132686|O|P||-1|||You have already passed this exam||
508|123|1|500132901|O|P||-1|||You have already passed this exam||
508|123|1|500134439|O|P||-1|||You have already passed this exam||
508|123|1|500135324|O|P||-1|||You have already passed this exam||
508|123|1|500135699|O|P||-1|||You have already passed this exam||
508|123|1|500135953|O|P||-1|||You have already passed this exam||
508|123|1|500135988|O|P||-1|||You have already passed this exam||
508|123|1|500136164|O|P||-1|||You have already passed this exam||
508|123|1|500137471|O|P||-1|||You have already passed this exam||
508|123|1|500137663|O|P||-1|||You have already passed this exam||
508|123|1|500137844|O|P||-1|||You have already passed this exam||
508|123|1|500138237|O|P||-1|||You have already passed this exam||
508|123|1|500138412|O|P||-1|||You have already passed this exam||
508|123|1|500138634|O|P||-1|||You have already passed this exam||
508|123|1|500138727|O|P||-1|||You have already passed this exam||
508|123|1|500139547|O|P||-1|||You have already passed this exam||
508|123|1|500139564|O|P||-1|||You have already passed this exam||
508|123|1|500140572|O|P||-1|||You have already passed this exam||
508|123|1|500141823|O|P||-1|||You have already passed this exam||
508|123|1|500142536|O|P||-1|||You have already passed this exam||
508|123|1|500143104|O|P||-1|||You have already passed this exam||
508|123|1|500143337|O|P||-1|||You have already passed this exam||
508|123|1|500144107|O|P||-1|||You have already passed this exam||
508|123|1|500145086|O|P||-1|||You have already passed this exam||
508|123|1|500145105|O|P||-1|||You have already passed this exam||
508|123|1|500145150|O|P||-1|||You have already passed this exam||
508|123|1|500145531|O|P||-1|||You have already passed this exam||
508|123|1|500146163|O|P||-1|||You have already passed this exam||
508|123|1|500146339|O|P||-1|||You have already passed this exam||
508|123|1|500147218|O|P||-1|||You have already passed this exam||
508|123|1|500148529|O|P||-1|||You have already passed this exam||
508|123|1|500148925|O|P||-1|||You have already passed this exam||
508|123|1|500148997|O|P||-1|||You have already passed this exam||
508|123|1|500149097|O|P||-1|||You have already passed this exam||
508|123|1|500149605|O|P||-1|||You have already passed this exam||
508|123|1|500149717|O|P||-1|||You have already passed this exam||
508|123|1|500150281|O|P||-1|||You have already passed this exam||
508|123|1|500150810|O|P||-1|||You have already passed this exam||
508|123|1|500152217|O|P||-1|||You have already passed this exam||
508|123|1|500152262|O|P||-1|||You have already passed this exam||
508|123|1|500152441|O|P||-1|||You have already passed this exam||
508|123|1|500152511|O|P||-1|||You have already passed this exam||
508|123|1|500153323|O|P||-1|||You have already passed this exam||
508|123|1|500154244|O|P||-1|||You have already passed this exam||
508|123|1|500154804|O|P||-1|||You have already passed this exam||
508|123|1|500154828|O|P||-1|||You have already passed this exam||
508|123|1|500155169|O|P||-1|||You have already passed this exam||
508|123|1|500155856|O|P||-1|||You have already passed this exam||
508|123|1|500156394|O|P||-1|||You have already passed this exam||
508|123|1|500157124|O|P||-1|||You have already passed this exam||
508|123|1|500157312|O|P||-1|||You have already passed this exam||
508|123|1|500157608|O|P||-1|||You have already passed this exam||
508|123|1|500157699|O|P||-1|||You have already passed this exam||
508|123|1|500158312|O|P||-1|||You have already passed this exam||
508|123|1|500159120|O|P||-1|||You have already passed this exam||
508|123|1|500160769|O|P||-1|||You have already passed this exam||
508|123|1|500161487|O|P||-1|||You have already passed this exam||
508|123|1|500161962|O|P||-1|||You have already passed this exam||
508|123|1|500162508|O|P||-1|||You have already passed this exam||
508|123|1|500163000|O|P||-1|||You have already passed this exam||
508|123|1|500163137|O|P||-1|||You have already passed this exam||
508|123|1|500163924|O|P||-1|||You have already passed this exam||
508|123|1|500164728|O|P||-1|||You have already passed this exam||
508|123|1|500165205|O|P||-1|||You have already passed this exam||
508|123|1|500165548|O|P||-1|||You have already passed this exam||
508|123|1|500166220|O|P||-1|||You have already passed this exam||
508|123|1|500167152|O|P||-1|||You have already passed this exam||
508|123|1|500167242|O|P||-1|||You have already passed this exam||
508|123|1|500167317|O|P||-1|||You have already passed this exam||
508|123|1|500167415|O|P||-1|||You have already passed this exam||
508|123|1|500168261|O|P||-1|||You have already passed this exam||
508|123|1|500168787|O|P||-1|||You have already passed this exam||
508|123|1|500168844|O|P||-1|||You have already passed this exam||
508|123|1|500168913|O|P||-1|||You have already passed this exam||
508|123|1|500169548|O|P||-1|||You have already passed this exam||
508|123|1|500169969|O|P||-1|||You have already passed this exam||
508|123|1|500170063|O|P||-1|||You have already passed this exam||
508|123|1|500171056|O|P||-1|||You have already passed this exam||
508|123|1|500171171|O|P||-1|||You have already passed this exam||
508|123|1|500172224|O|P||-1|||You have already passed this exam||
508|123|1|500172731|O|P||-1|||You have already passed this exam||
508|123|1|500172996|O|P||-1|||You have already passed this exam||
508|123|1|500176715|O|P||-1|||You have already passed this exam||
508|123|1|500177404|O|P||-1|||You have already passed this exam||
508|123|1|500177789|O|P||-1|||You have already passed this exam||
508|123|1|500179688|O|P||-1|||You have already passed this exam||
508|123|1|500180922|O|P||-1|||You have already passed this exam||
508|123|1|500181711|O|P||-1|||You have already passed this exam||
508|123|1|500181988|O|P||-1|||You have already passed this exam||
508|123|1|500182116|O|P||-1|||You have already passed this exam||
508|123|1|500184554|O|P||-1|||You have already passed this exam||
508|123|1|500184563|O|P||-1|||You have already passed this exam||
508|123|1|500185210|O|P||-1|||You have already passed this exam||
508|123|1|500186547|O|P||-1|||You have already passed this exam||
508|123|1|500187969|O|P||-1|||You have already passed this exam||
508|123|1|500188661|O|P||-1|||You have already passed this exam||
508|123|1|500188849|O|P||-1|||You have already passed this exam||
508|123|1|500189262|O|P||-1|||You have already passed this exam||
508|123|1|500189708|O|P||-1|||You have already passed this exam||
508|123|1|500189802|O|P||-1|||You have already passed this exam||
508|123|1|500190208|O|P||-1|||You have already passed this exam||
508|123|1|500190365|O|P||-1|||You have already passed this exam||
508|123|1|500190412|O|P||-1|||You have already passed this exam||
508|123|1|500192065|O|P||-1|||You have already passed this exam||
508|123|1|500192536|O|P||-1|||You have already passed this exam||
508|123|1|500193417|O|P||-1|||You have already passed this exam||
508|123|1|500194301|O|P||-1|||You have already passed this exam||
508|123|1|500195793|O|P||-1|||You have already passed this exam||
508|123|1|500196026|O|P||-1|||You have already passed this exam||
508|123|1|500196208|O|P||-1|||You have already passed this exam||
508|123|1|500196460|O|P||-1|||You have already passed this exam||
508|123|1|500196590|O|P||-1|||You have already passed this exam||
508|123|1|500196641|O|P||-1|||You have already passed this exam||
508|123|1|500196919|O|P||-1|||You have already passed this exam||
508|123|1|500197316|O|P||-1|||You have already passed this exam||
508|123|1|500198479|O|P||-1|||You have already passed this exam||
508|123|1|500199325|O|P||-1|||You have already passed this exam||
508|123|1|500199354|O|P||-1|||You have already passed this exam||
508|123|1|500200990|O|P||-1|||You have already passed this exam||
